smiles
C1=CC=C(C=C1)O
COC1=CC=CC=C1O
COC1=CC=CC(=C1)O
COC1=CC=C(C=C1)O
COC1=C(C(=CC=C1)OC)O
COC1=C(C=CC(=C1)C=O)O
COC1=C(C=CC(=C1)C(=O)O)O
COC1=C(C=CC(=C1)CC=C)O
CC1=CC(=C(C=C1)O)OC
C1=CC=C(C(=C1)O)O
